,model,dataset,question_id,answer_index
0,Qwen2-VL-2B-Instruct,openbookqa,0,2
1,Qwen2-VL-2B-Instruct,openbookqa,1,0
2,Qwen2-VL-2B-Instruct,openbookqa,2,2
3,Qwen2-VL-2B-Instruct,openbookqa,3,0
4,Qwen2-VL-2B-Instruct,openbookqa,4,0
5,Qwen2-VL-2B-Instruct,openbookqa,5,0
6,Qwen2-VL-2B-Instruct,openbookqa,6,2
7,Qwen2-VL-2B-Instruct,openbookqa,7,0
8,Qwen2-VL-2B-Instruct,openbookqa,8,1
9,Qwen2-VL-2B-Instruct,openbookqa,9,3
10,Qwen2-VL-2B-Instruct,openbookqa,10,2
11,Qwen2-VL-2B-Instruct,openbookqa,11,0
12,Qwen2-VL-2B-Instruct,openbookqa,12,2
13,Qwen2-VL-2B-Instruct,openbookqa,13,0
14,Qwen2-VL-2B-Instruct,openbookqa,14,0
15,Qwen2-VL-2B-Instruct,openbookqa,15,0
16,Qwen2-VL-2B-Instruct,openbookqa,16,0
17,Qwen2-VL-2B-Instruct,openbookqa,17,2
18,Qwen2-VL-2B-Instruct,openbookqa,18,0
19,Qwen2-VL-2B-Instruct,openbookqa,19,3
20,Qwen2-VL-2B-Instruct,openbookqa,20,3
21,Qwen2-VL-2B-Instruct,openbookqa,21,0
22,Qwen2-VL-2B-Instruct,openbookqa,22,1
23,Qwen2-VL-2B-Instruct,openbookqa,23,2
24,Qwen2-VL-2B-Instruct,openbookqa,24,3
25,Qwen2-VL-2B-Instruct,openbookqa,25,3
26,Qwen2-VL-2B-Instruct,openbookqa,26,3
27,Qwen2-VL-2B-Instruct,openbookqa,27,0
28,Qwen2-VL-2B-Instruct,openbookqa,28,1
29,Qwen2-VL-2B-Instruct,openbookqa,29,3
30,Qwen2-VL-2B-Instruct,openbookqa,30,0
31,Qwen2-VL-2B-Instruct,openbookqa,31,0
32,Qwen2-VL-2B-Instruct,openbookqa,32,2
33,Qwen2-VL-2B-Instruct,openbookqa,33,0
