,model,dataset,question_id,answer_index
0,Meta-Llama-3.1-8B-Instruct,arcc,0,3
1,Meta-Llama-3.1-8B-Instruct,arcc,1,0
2,Meta-Llama-3.1-8B-Instruct,arcc,2,1
3,Meta-Llama-3.1-8B-Instruct,arcc,3,0
4,Meta-Llama-3.1-8B-Instruct,arcc,4,0
5,Meta-Llama-3.1-8B-Instruct,arcc,5,0
6,Meta-Llama-3.1-8B-Instruct,arcc,6,0
7,Meta-Llama-3.1-8B-Instruct,arcc,7,0
8,Meta-Llama-3.1-8B-Instruct,arcc,8,0
9,Meta-Llama-3.1-8B-Instruct,arcc,9,0
10,Meta-Llama-3.1-8B-Instruct,arcc,10,0
11,Meta-Llama-3.1-8B-Instruct,arcc,11,0
12,Meta-Llama-3.1-8B-Instruct,arcc,12,0
13,Meta-Llama-3.1-8B-Instruct,arcc,13,0
14,Meta-Llama-3.1-8B-Instruct,arcc,14,0
15,Meta-Llama-3.1-8B-Instruct,arcc,15,0
16,Meta-Llama-3.1-8B-Instruct,arcc,16,0
17,Meta-Llama-3.1-8B-Instruct,arcc,17,0
18,Meta-Llama-3.1-8B-Instruct,arcc,18,3
19,Meta-Llama-3.1-8B-Instruct,arcc,19,0
20,Meta-Llama-3.1-8B-Instruct,arcc,20,0
21,Meta-Llama-3.1-8B-Instruct,arcc,21,0
22,Meta-Llama-3.1-8B-Instruct,arcc,22,0
23,Meta-Llama-3.1-8B-Instruct,arcc,23,3
24,Meta-Llama-3.1-8B-Instruct,arcc,24,0
25,Meta-Llama-3.1-8B-Instruct,arcc,25,0
26,Meta-Llama-3.1-8B-Instruct,arcc,26,0
27,Meta-Llama-3.1-8B-Instruct,arcc,27,0
28,Meta-Llama-3.1-8B-Instruct,arcc,28,3
29,Meta-Llama-3.1-8B-Instruct,arcc,29,0
30,Meta-Llama-3.1-8B-Instruct,arcc,30,0
31,Meta-Llama-3.1-8B-Instruct,arcc,31,2
32,Meta-Llama-3.1-8B-Instruct,arcc,32,0
33,Meta-Llama-3.1-8B-Instruct,arcc,33,0
34,Meta-Llama-3.1-8B-Instruct,arcc,34,0
35,Meta-Llama-3.1-8B-Instruct,arcc,35,0
36,Meta-Llama-3.1-8B-Instruct,arcc,36,0
37,Meta-Llama-3.1-8B-Instruct,arcc,37,0
38,Meta-Llama-3.1-8B-Instruct,arcc,38,0
39,Meta-Llama-3.1-8B-Instruct,arcc,39,0
40,Meta-Llama-3.1-8B-Instruct,arcc,40,0
41,Meta-Llama-3.1-8B-Instruct,arcc,41,0
42,Meta-Llama-3.1-8B-Instruct,arcc,42,0
43,Meta-Llama-3.1-8B-Instruct,arcc,43,0
44,Meta-Llama-3.1-8B-Instruct,arcc,44,0
45,Meta-Llama-3.1-8B-Instruct,arcc,45,0
46,Meta-Llama-3.1-8B-Instruct,arcc,46,0
47,Meta-Llama-3.1-8B-Instruct,arcc,47,0
48,Meta-Llama-3.1-8B-Instruct,arcc,48,0
49,Meta-Llama-3.1-8B-Instruct,arcc,49,0
50,Meta-Llama-3.1-8B-Instruct,arcc,50,0
51,Meta-Llama-3.1-8B-Instruct,arcc,51,0
52,Meta-Llama-3.1-8B-Instruct,arcc,52,3
53,Meta-Llama-3.1-8B-Instruct,arcc,53,3
54,Meta-Llama-3.1-8B-Instruct,arcc,54,2
55,Meta-Llama-3.1-8B-Instruct,arcc,55,0
56,Meta-Llama-3.1-8B-Instruct,arcc,56,0
57,Meta-Llama-3.1-8B-Instruct,arcc,57,0
58,Meta-Llama-3.1-8B-Instruct,arcc,58,0
59,Meta-Llama-3.1-8B-Instruct,arcc,59,0
60,Meta-Llama-3.1-8B-Instruct,arcc,60,0
61,Meta-Llama-3.1-8B-Instruct,arcc,61,0
62,Meta-Llama-3.1-8B-Instruct,arcc,62,0
63,Meta-Llama-3.1-8B-Instruct,arcc,63,0
64,Meta-Llama-3.1-8B-Instruct,arcc,64,0
65,Meta-Llama-3.1-8B-Instruct,arcc,65,0
66,Meta-Llama-3.1-8B-Instruct,arcc,66,0
67,Meta-Llama-3.1-8B-Instruct,arcc,67,0
68,Meta-Llama-3.1-8B-Instruct,arcc,68,0
69,Meta-Llama-3.1-8B-Instruct,arcc,69,0
70,Meta-Llama-3.1-8B-Instruct,arcc,70,0
71,Meta-Llama-3.1-8B-Instruct,arcc,71,0
72,Meta-Llama-3.1-8B-Instruct,arcc,72,2
73,Meta-Llama-3.1-8B-Instruct,arcc,73,0
74,Meta-Llama-3.1-8B-Instruct,arcc,74,0
75,Meta-Llama-3.1-8B-Instruct,arcc,75,0
76,Meta-Llama-3.1-8B-Instruct,arcc,76,2
77,Meta-Llama-3.1-8B-Instruct,arcc,77,0
78,Meta-Llama-3.1-8B-Instruct,arcc,78,0
79,Meta-Llama-3.1-8B-Instruct,arcc,79,0
80,Meta-Llama-3.1-8B-Instruct,arcc,80,0
81,Meta-Llama-3.1-8B-Instruct,arcc,81,0
82,Meta-Llama-3.1-8B-Instruct,arcc,82,0
83,Meta-Llama-3.1-8B-Instruct,arcc,83,0
84,Meta-Llama-3.1-8B-Instruct,arcc,84,0
85,Meta-Llama-3.1-8B-Instruct,arcc,85,0
86,Meta-Llama-3.1-8B-Instruct,arcc,86,0
87,Meta-Llama-3.1-8B-Instruct,arcc,87,0
88,Meta-Llama-3.1-8B-Instruct,arcc,88,0
89,Meta-Llama-3.1-8B-Instruct,arcc,89,0
90,Meta-Llama-3.1-8B-Instruct,arcc,90,0
91,Meta-Llama-3.1-8B-Instruct,arcc,91,0
92,Meta-Llama-3.1-8B-Instruct,arcc,92,2
93,Meta-Llama-3.1-8B-Instruct,arcc,93,1
94,Meta-Llama-3.1-8B-Instruct,arcc,94,0
95,Meta-Llama-3.1-8B-Instruct,arcc,95,0
96,Meta-Llama-3.1-8B-Instruct,arcc,96,0
97,Meta-Llama-3.1-8B-Instruct,arcc,97,0
98,Meta-Llama-3.1-8B-Instruct,arcc,98,0
99,Meta-Llama-3.1-8B-Instruct,arcc,99,0
